Price,Open,High,Low,Close,Adj Close,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,Open,High,Low,Close,Adj Close,Volume
1/2/1980,0,108.4300003,105.2900009,105.7600021,105.7600021,40610000
1/3/1980,0,106.0800018,103.2600021,105.2200012,105.2200012,50480000
1/4/1980,0,107.0800018,105.0899963,106.5199966,106.5199966,39130000
1/7/1980,0,107.8000031,105.8000031,106.8099976,106.8099976,44500000
1/8/1980,0,109.2900009,106.2900009,108.9499969,108.9499969,53390000
1/9/1980,0,111.0899963,108.4100037,109.0500031,109.0500031,65260000
1/10/1980,0,110.8600006,108.4700012,109.8899994,109.8899994,55980000
1/11/1980,0,111.1600037,108.8899994,109.9199982,109.9199982,52890000
1/14/1980,0,111.4400024,109.3399963,110.3799973,110.3799973,52930000
1/15/1980,0,111.9300003,109.4499969,111.1399994,111.1399994,52320000
1/16/1980,0,112.9000015,110.3799973,111.0500031,111.0500031,67700000
1/17/1980,0,112.0100021,109.8099976,110.6999969,110.6999969,54170000
1/18/1980,0,111.7399979,109.8799973,111.0699997,111.0699997,47150000
1/21/1980,0,112.9000015,110.6600037,112.0999985,112.0999985,48040000
1/22/1980,0,113.0999985,110.9199982,111.5100021,111.5100021,50620000
1/23/1980,0,113.9300003,110.9300003,113.4400024,113.4400024,50730000
1/24/1980,0,115.2699966,112.9499969,113.6999969,113.6999969,59070000
1/25/1980,0,114.4499969,112.3600006,113.6100006,113.6100006,47100000
1/28/1980,0,115.6500015,112.9300003,114.8499985,114.8499985,53620000
1/29/1980,0,115.7699966,113.0299988,114.0699997,114.0699997,55480000
1/30/1980,0,115.8499985,113.3700027,115.1999969,115.1999969,51170000
1/31/1980,0,117.1699982,113.7799988,114.1600037,114.1600037,65900000
2/1/1980,0,115.5400009,113.1299973,115.1200027,115.1200027,46610000
2/4/1980,0,116.0100021,113.8300018,114.3700027,114.3700027,43070000
2/5/1980,0,115.25,112.1500015,114.6600037,114.6600037,41880000
2/6/1980,0,116.5699997,113.6500015,115.7200012,115.7200012,51950000
2/7/1980,0,117.8700027,115.2200012,116.2799988,116.2799988,57690000
2/8/1980,0,118.6600037,115.7200012,117.9499969,117.9499969,57860000
2/11/1980,0,119.0500031,116.3099976,117.1200027,117.1200027,58660000
2/12/1980,0,118.4100037,115.75,117.9000015,117.9000015,48090000
2/13/1980,0,120.2200012,117.5699997,118.4400024,118.4400024,65230000
2/14/1980,0,119.3000031,116.0400009,116.7200012,116.7200012,50540000
2/15/1980,0,116.6999969,114.1200027,115.4100037,115.4100037,46680000
2/19/1980,0,115.6699982,113.3499985,114.5999985,114.5999985,39480000
2/20/1980,0,117.1800003,114.0599976,116.4700012,116.4700012,44340000
2/21/1980,0,117.9000015,114.4400024,115.2799988,115.2799988,51530000
2/22/1980,0,116.4599991,113.4300003,115.0400009,115.0400009,48210000
2/25/1980,0,114.9300003,112.6200027,113.3300018,113.3300018,39140000
2/26/1980,0,114.7600021,112.3000031,113.9800034,113.9800034,40000000
2/27/1980,0,115.1200027,111.9100037,112.3799973,112.3799973,46430000
2/28/1980,0,113.6999969,111.3300018,112.3499985,112.3499985,40330000
2/29/1980,0,114.1200027,111.7699966,113.6600037,113.6600037,38810000
3/3/1980,0,114.3399963,112.0100021,112.5,112.5,38690000
3/4/1980,0,113.4100037,110.8300018,112.7799988,112.7799988,44310000
3/5/1980,0,113.9400024,110.5800018,111.1299973,111.1299973,49240000
3/6/1980,0,111.2900009,107.8499985,108.6500015,108.6500015,49610000
3/7/1980,0,108.9599991,105.9899979,106.9000015,106.9000015,50950000
3/10/1980,0,107.8600006,104.9199982,106.5100021,106.5100021,43750000
3/11/1980,0,108.5400009,106.1800003,107.7799988,107.7799988,41350000
3/12/1980,0,108.4000015,105.4199982,106.8700027,106.8700027,37990000
3/13/1980,0,107.5500031,105.0999985,105.6200027,105.6200027,33070000
3/14/1980,0,106.4899979,104.0100021,105.4300003,105.4300003,35180000
3/17/1980,0,105.2300034,101.8199997,102.2600021,102.2600021,37020000
3/18/1980,0,104.7099991,101.1399994,104.0999985,104.0999985,47340000
3/19/1980,0,105.7200012,103.3499985,104.3099976,104.3099976,36520000
3/20/1980,0,105.1699982,102.5199966,103.1200027,103.1200027,32580000
3/21/1980,0,103.7300034,101.5500031,102.3099976,102.3099976,32220000
3/24/1980,0,102.1800003,98.87999725,99.27999878,99.27999878,39230000
3/25/1980,0,100.5800018,97.88999939,99.19000244,99.19000244,43790000
3/26/1980,0,101.2200012,98.09999847,98.68000031,98.68000031,37370000
3/27/1980,0,99.58000183,94.23000336,98.22000122,98.22000122,63680000
3/28/1980,0,101.4300003,97.72000122,100.6800003,100.6800003,46720000
3/31/1980,0,102.6500015,100.0199966,102.0899963,102.0899963,35840000
4/1/1980,0,103.2799988,100.8499985,102.1800003,102.1800003,32230000
4/2/1980,0,103.8700027,101.4499969,102.6800003,102.6800003,35210000
4/3/1980,0,103.3399963,101.3099976,102.1500015,102.1500015,27970000
4/7/1980,0,102.2699966,99.73000336,100.1900024,100.1900024,29130000
4/8/1980,0,101.8799973,99.23000336,101.1999969,101.1999969,31700000
4/9/1980,0,103.5999985,101.0100021,103.1100006,103.1100006,33020000
4/10/1980,0,105,102.8099976,104.0800018,104.0800018,33940000
4/11/1980,0,105.1500015,103.1999969,103.7900009,103.7900009,29960000
4/14/1980,0,103.9199982,102.0800018,102.8399963,102.8399963,23060000
4/15/1980,0,103.9400024,101.8499985,102.6299973,102.6299973,26670000
4/16/1980,0,104.4199982,101.1299973,101.5400009,101.5400009,39730000
4/17/1980,0,102.2099991,100.1200027,101.0500031,101.0500031,32770000
4/18/1980,0,102.0699997,99.97000122,100.5500031,100.5500031,26880000
4/21/1980,0,101.2600021,98.94999695,99.80000305,99.80000305,27560000
4/22/1980,0,104.0199966,100.8099976,103.4300003,103.4300003,47920000
4/23/1980,0,105.1100006,102.8099976,103.7300034,103.7300034,42620000
4/24/1980,0,105.4300003,102.9300003,104.4000015,104.4000015,35790000
4/25/1980,0,105.5699997,103.0199966,105.1600037,105.1600037,28590000
4/28/1980,0,106.7900009,104.6399994,105.6399994,105.6399994,30600000
4/29/1980,0,106.6999969,104.8600006,105.8600006,105.8600006,27940000
4/30/1980,0,106.7200012,104.5,106.2900009,106.2900009,30850000
5/1/1980,0,106.8600006,104.7200012,105.4599991,105.4599991,32480000
5/2/1980,0,106.25,104.6100006,105.5800018,105.5800018,28040000
5/5/1980,0,106.8300018,104.6399994,106.3799973,106.3799973,34090000
5/6/1980,0,107.8300018,105.3600006,106.25,106.25,40160000
5/7/1980,0,108.1200027,105.8300018,107.1800003,107.1800003,42600000
